Node Label,LIDO,CRM,Comment
Identifier,lido:identityComplexType,E42,
RecordID,lido:identityComplexType,E42,P1 oder P48 
PublicID,lido:identityComplexType,E42,P1 oder P48 
Date,lido:dateComplexType,E50,
Category,lido:conceptComplexType,,
Concept,lido:conceptComplexType,,
MixedConcept,lido:conceptMixedComplexType,,
DateSet,lido:dateSetComplexType,,
Object,lido:objectComplexType,,
ObjectSet,lido:objectSeComplexType,,
Appellation,lido:appellationComplexType,,
DescriptiveNote,lido:descriptiveNoteComplexType,,
Subject,lido:subjectComplexType,,
ObjectMeasurements,lido:objectMeasurementsComplexType,,
MeasurementsSet,lido:measurementSetComplexType,,
Rights,lido:rightsComplexType,,
LegalBodyRef,lido:legalBodyRefComplexType,,
MaterialsTech,lido:materialsTechComplexType,,
Place,lido:placeComplexType,,
GML,lido:gmlComplexType,,
RelatedEventSet,lido:relatedEventSetComplexType,,
MaterialTechSet,lido:materialsTechSetComplexType,,
PlaceSet,lido:placeSetComplexType,E9 Move,http://terminology-view.lido-schema.org/vocnet/?uriVocItem=http://terminology.lido-schema.org/&startNode=lido00409&lang=en&d=n
ActorInRoleSet,lido:actorInRoleSetComplexType,,
ActorSet,lido:actorSetComplexType,,
ActorInRole,lido:actorInRoleComplexType,,
Actor,lido:actorComplexType,,
Record,lido:lido,E31 Document,
DescriptiveMetadata,lido:descriptiveMetadata,,
AdministrativeMetadata,lido:administrativeMetadata,,
ResourceSet,lido:resourceSet,,
EventSet,lido:eventSet,,
RecordInfoSet,lido:recordInfoSet,,
RelatedWorkSet,lido:relatedWorkSet,,
ObjectMeasurementsSet,lido:objectMeasurementsSet,,
RepositorySet,lido:repositorySet,,
SubjectSet,lido:subjectSet,,
Event,lido:event,,
RightsHolder,lido:rightsHolder,,
MaterialsTech,lido:conceptComplexType,,
Classification,lido:conceptComplexType,,
ObjectClassificationWrap,lido:objectClassificationWrap,,
ObjectIdentificationWrap,lido:objectIdentificationWrap,,
ObjectRelationWrap,lido:objectRelationWrap,,
RecordWrap,lido:recordWrap,,
DisplayStateEdition,lido:displayStateEdition,,
ResourceMeasurementsSet,lido:resourceMeasurementsSet,,
WorkType,lido:objectWorkTypeWrap,,
Geonames,---,,http://www.geonames.org/ontology#
